order_id,amount,profit,quantity,category_id
B-25601,1275,-1148,7,1
B-25614,494,54,4,1
B-25618,362,127,1,1
B-25638,182,-11,3,1
B-25643,1061,-36,8,1
B-25651,200,-60,4,1
B-25664,83,-48,1,1
B-25667,516,69,4,1
B-25670,656,-36,2,1
B-25718,371,115,1,1
B-25718,460,31,3,1
B-25724,168,-51,2,1
B-25726,490,-128,8,1
B-25745,670,15,5,1
B-25747,877,395,2,1
B-25749,1052,-82,3,1
B-25750,73,-31,1,1
B-25752,1361,197,9,1
B-25755,257,-3,2,1
B-25755,593,213,4,1
B-25756,204,-276,3,1
B-25756,729,-492,5,1
B-25761,2188,1050,5,1
B-25770,375,180,3,1
B-25770,299,113,2,1
B-25786,1854,433,5,1
B-25789,313,-13,5,1
B-25797,148,-101,2,1
B-25798,2830,-1981,13,1
B-25832,504,116,3,1
B-25840,246,61,2,1
B-25840,298,74,2,1
B-25851,336,71,3,1
B-25855,197,73,1,1
B-25857,598,166,4,1
B-25858,223,27,2,1
B-25859,724,253,2,1
B-25862,2061,701,5,1
B-25878,741,267,5,1
B-25885,394,146,2,1
B-25894,1246,62,3,1
B-25895,388,93,2,1
B-25902,268,6,2,1
B-25904,871,131,2,1
B-25929,1308,536,3,1
B-25930,595,119,4,1
B-25937,1101,352,3,1
B-25945,245,10,2,1
B-25951,742,198,2,1
B-25953,1218,352,9,1
B-25955,2927,146,8,1
B-25957,1157,-13,9,1
B-25960,171,-140,2,1
B-25961,366,84,3,1
B-25962,544,-152,3,1
B-25969,2452,191,7,1
B-25970,742,198,2,1
B-25971,244,83,2,1
B-25974,662,240,2,1
B-25979,284,45,2,1
B-25981,245,91,2,1
B-25983,561,118,5,1
B-25989,330,81,1,1
B-25995,1314,342,3,1
B-25997,2292,127,7,1
B-26007,311,72,2,1
B-26023,1117,447,10,1
B-26033,143,32,1,1
B-26051,676,195,5,1
B-26051,669,74,5,1
B-26053,246,61,2,1
B-26053,594,89,3,1
B-26055,1218,420,8,1
B-26056,213,-145,3,1
B-26057,659,-37,2,1
B-26067,618,27,4,1
B-26076,450,190,4,1
B-26081,359,-338,5,1
B-26093,852,51,5,1
B-25601,66,-12,5,2
B-25603,116,16,4,2
B-25603,107,36,6,2
B-25610,107,-54,4,2
B-25616,116,-56,5,2
B-25623,53,1,4,2
B-25623,158,69,3,2
B-25623,105,20,2,2
B-25627,55,-39,4,2
B-25630,133,12,5,2
B-25630,40,-7,3,2
B-25649,27,-25,2,2
B-25650,28,-26,2,2
B-25651,44,-8,3,2
B-25654,105,46,2,2
B-25656,30,-5,5,2
B-25670,74,29,3,2
B-25672,27,-15,1,2
B-25683,148,52,5,2
B-25687,17,6,1,2
B-25689,97,17,2,2
B-25689,149,36,3,2
B-25691,75,-25,3,2
B-25691,17,-9,3,2
B-25697,67,-42,3,2
B-25699,49,-31,2,2
B-25700,44,-32,3,2
B-25703,17,-3,2,2
B-25706,31,-11,4,2
B-25707,8,-6,1,2
B-25708,81,-51,7,2
B-25708,32,-8,2,2
B-25719,29,10,2,2
B-25722,48,-8,8,2
B-25723,26,-24,1,2
B-25723,16,-12,2,2
B-25725,26,-5,2,2
B-25730,96,22,5,2
B-25732,16,-5,2,2
B-25733,43,-43,7,2
B-25733,30,-10,2,2
B-25740,40,-37,3,2
B-25743,74,-51,3,2
B-25745,44,-8,3,2
B-25750,22,-12,3,2
B-25752,76,27,5,2
B-25753,77,-43,8,2
B-25754,93,-65,4,2
B-25755,80,-19,5,2
B-25755,47,-3,2,2
B-25757,53,15,2,2
B-25757,165,30,3,2
B-25757,211,19,8,2
B-25758,8,-2,1,2
B-25765,139,14,3,2
B-25775,50,-17,2,2
B-25781,45,-28,2,2
B-25783,25,-11,1,2
B-25786,44,-34,3,2
B-25788,12,3,1,2
B-25792,74,-25,3,2
B-25796,78,-64,7,2
B-25798,47,-3,2,2
B-25798,38,-13,3,2
B-25799,70,-64,5,2
B-25801,49,-31,2,2
B-25802,95,5,2,2
B-25803,185,48,4,2
B-25807,16,6,1,2
